iter	Passed	Remaining
0	30	18003
1	57	17079
2	85	17006
3	115	17135
4	143	17115
5	173	17156
6	203	17240
7	235	17398
8	263	17311
9	292	17238
10	321	17238
11	354	17386
12	386	17429
13	417	17483
14	449	17532
15	483	17632
16	513	17601
17	542	17547
18	572	17507
19	601	17449
20	630	17392
21	661	17374
22	690	17320
23	718	17232
24	748	17206
25	775	17129
26	804	17065
27	830	16972
28	858	16912
29	886	16843
30	914	16788
31	942	16721
32	970	16673
33	998	16630
34	1027	16591
35	1055	16540
36	1083	16493
37	1111	16444
38	1141	16415
39	1168	16363
40	1196	16318
41	1224	16269
42	1253	16239
43	1281	16191
44	1309	16156
45	1339	16126
46	1368	16104
47	1399	16090
48	1429	16079
49	1462	16082
50	1491	16057
51	1521	16032
52	1554	16043
53	1585	16027
54	1616	16015
55	1644	15972
56	1672	15932
57	1700	15894
58	1731	15875
59	1760	15840
60	1788	15807
61	1818	15778
62	1846	15739
63	1873	15693
64	1902	15658
65	1931	15628
66	1960	15593
67	1988	15555
68	2015	15513
69	2043	15473
70	2073	15445
71	2101	15413
72	2131	15385
73	2158	15344
74	2186	15305
75	2213	15261
76	2242	15231
77	2270	15194
78	2298	15158
79	2327	15129
80	2354	15087
81	2382	15047
82	2410	15012
83	2436	14967
84	2464	14930
85	2491	14892
86	2518	14850
87	2547	14821
88	2577	14799
89	2605	14762
90	2632	14726
91	2660	14689
92	2688	14656
93	2718	14632
94	2746	14599
95	2773	14561
96	2802	14530
97	2830	14497
98	2858	14464
99	2887	14435
100	2914	14399
101	2940	14357
102	2968	14324
103	2994	14282
104	3022	14247
105	3049	14211
106	3079	14186
107	3106	14150
108	3134	14121
109	3163	14092
110	3192	14065
111	3220	14030
112	3247	13996
113	3275	13964
114	3304	13936
115	3334	13912
116	3364	13887
117	3394	13866
118	3424	13840
119	3454	13819
120	3484	13794
121	3515	13773
122	3545	13748
123	3577	13731
124	3607	13707
125	3634	13673
126	3661	13638
127	3688	13600
128	3717	13574
129	3744	13537
130	3773	13508
131	3800	13473
132	3828	13441
133	3855	13408
134	3884	13380
135	3911	13346
136	3944	13331
137	3973	13301
138	4001	13269
139	4028	13235
140	4055	13201
141	4082	13166
142	4110	13136
143	4138	13105
144	4165	13072
145	4194	13044
146	4222	13012
147	4249	12977
148	4275	12940
149	4302	12906
150	4332	12883
151	4359	12850
152	4386	12815
153	4413	12781
154	4441	12751
155	4467	12715
156	4495	12685
157	4522	12650
158	4548	12614
159	4575	12582
160	4605	12558
161	4632	12525
162	4659	12493
163	4687	12462
164	4716	12433
165	4744	12403
166	4771	12370
167	4797	12337
168	4825	12305
169	4851	12271
170	4880	12243
171	4907	12211
172	4934	12179
173	4961	12146
174	4987	12112
175	5016	12084
176	5042	12051
177	5069	12018
178	5095	11985
179	5122	11953
180	5149	11920
181	5176	11889
182	5203	11856
183	5229	11822
184	5256	11791
185	5287	11769
186	5320	11751
187	5354	11734
188	5385	11710
189	5415	11686
190	5445	11660
191	5476	11636
192	5503	11605
193	5532	11577
194	5563	11554
195	5591	11525
196	5620	11497
197	5647	11466
198	5675	11437
199	5702	11405
200	5729	11373
201	5755	11340
202	5782	11309
203	5808	11276
204	5833	11240
205	5861	11210
206	5887	11177
207	5916	11151
208	5943	11120
209	5971	11089
210	5997	11057
211	6024	11026
212	6050	10993
213	6076	10961
214	6104	10930
215	6132	10902
216	6158	10869
217	6185	10839
218	6211	10806
219	6238	10775
220	6264	10742
221	6292	10714
222	6318	10682
223	6345	10651
224	6372	10620
225	6399	10589
226	6426	10559
227	6451	10526
228	6477	10494
229	6503	10461
230	6530	10431
231	6555	10399
232	6581	10366
233	6606	10333
234	6635	10306
235	6664	10278
236	6690	10247
237	6717	10217
238	6744	10187
239	6771	10156
240	6798	10127
241	6823	10094
242	6850	10064
243	6878	10035
244	6904	10003
245	6930	9973
246	6957	9943
247	6984	9913
248	7010	9881
249	7035	9849
250	7061	9818
251	7085	9784
252	7111	9753
253	7137	9722
254	7165	9694
255	7193	9666
256	7219	9635
257	7246	9606
258	7277	9581
259	7306	9554
260	7334	9526
261	7362	9498
262	7391	9470
263	7419	9443
264	7447	9414
265	7475	9385
266	7503	9358
267	7533	9332
268	7560	9302
269	7587	9273
270	7615	9245
271	7647	9221
272	7673	9191
273	7705	9167
274	7733	9140
275	7761	9110
276	7787	9080
277	7812	9049
278	7838	9018
279	7864	8988
280	7890	8958
281	7915	8926
282	7942	8896
283	7968	8866
284	7996	8838
285	8023	8809
286	8049	8779
287	8074	8747
288	8098	8715
289	8124	8684
290	8153	8657
291	8178	8626
292	8203	8595
293	8230	8566
294	8258	8538
295	8284	8508
296	8310	8478
297	8336	8448
298	8364	8420
299	8391	8391
300	8417	8361
301	8443	8331
302	8471	8304
303	8496	8272
304	8525	8245
305	8554	8219
306	8581	8190
307	8607	8160
308	8634	8131
309	8659	8100
310	8685	8070
311	8712	8041
312	8738	8012
313	8765	7984
314	8792	7955
315	8816	7923
316	8842	7894
317	8868	7864
318	8891	7832
319	8918	7803
320	8943	7773
321	8970	7744
322	8995	7714
323	9021	7685
324	9048	7656
325	9074	7626
326	9102	7599
327	9130	7571
328	9155	7541
329	9182	7512
330	9208	7483
331	9236	7456
332	9264	7427
333	9292	7400
334	9322	7374
335	9349	7346
336	9376	7317
337	9404	7289
338	9434	7263
339	9461	7235
340	9489	7207
341	9517	7180
342	9543	7150
343	9570	7121
344	9596	7093
345	9622	7063
346	9650	7036
347	9677	7008
348	9704	6979
349	9729	6949
350	9754	6920
351	9782	6892
352	9809	6864
353	9834	6834
354	9861	6805
355	9887	6776
356	9912	6747
357	9938	6718
