iter	Passed	Remaining
0	23	11974
1	44	11149
2	65	10929
3	88	10961
4	110	10907
5	132	10913
6	155	10949
7	179	11026
8	200	10964
9	222	10898
10	245	10930
11	268	10923
12	290	10869
13	312	10845
14	333	10793
15	355	10765
16	377	10734
17	402	10788
18	424	10743
19	446	10716
20	469	10717
21	491	10682
22	513	10645
23	536	10631
24	558	10609
25	581	10604
26	602	10559
27	624	10524
28	646	10493
29	667	10456
30	689	10437
31	711	10406
32	733	10374
33	754	10342
34	775	10303
35	798	10287
36	819	10260
37	842	10241
38	864	10216
39	886	10194
40	908	10171
41	934	10190
42	956	10166
43	978	10144
44	999	10108
45	1021	10082
46	1043	10056
47	1064	10025
48	1087	10012
49	1109	9989
50	1130	9950
51	1151	9920
52	1173	9895
53	1195	9875
54	1219	9864
55	1241	9844
56	1263	9820
57	1285	9795
58	1306	9768
59	1328	9741
60	1349	9709
61	1371	9689
62	1393	9665
63	1414	9634
64	1435	9604
65	1456	9577
66	1477	9545
67	1498	9518
68	1519	9493
69	1541	9467
70	1561	9432
71	1584	9417
72	1605	9393
73	1625	9359
74	1646	9332
75	1668	9310
76	1688	9274
77	1709	9251
78	1732	9234
79	1754	9210
80	1775	9185
81	1797	9161
82	1818	9136
83	1840	9115
84	1862	9095
85	1885	9074
86	1905	9045
87	1927	9022
88	1948	9000
89	1969	8970
90	1989	8940
91	2010	8915
92	2031	8892
93	2053	8871
94	2075	8850
95	2096	8821
96	2118	8801
97	2139	8775
98	2159	8747
99	2180	8721
100	2199	8688
101	2219	8662
102	2242	8643
103	2262	8615
104	2285	8596
105	2305	8569
106	2326	8543
107	2346	8515
108	2367	8492
109	2388	8467
110	2408	8442
111	2428	8413
112	2447	8381
113	2469	8360
114	2490	8339
115	2511	8312
116	2530	8284
117	2551	8260
118	2573	8238
119	2592	8210
120	2612	8183
121	2633	8159
122	2653	8134
123	2674	8109
124	2695	8085
125	2714	8057
126	2733	8028
127	2752	8000
128	2774	7980
129	2796	7958
130	2816	7934
131	2837	7910
132	2858	7886
133	2878	7862
134	2899	7839
135	2920	7817
136	2941	7793
137	2961	7767
138	2980	7740
139	3000	7715
140	3020	7689
141	3040	7666
142	3063	7648
143	3084	7624
144	3102	7596
145	3124	7574
146	3145	7552
147	3164	7525
148	3184	7501
149	3204	7477
150	3225	7455
151	3245	7429
152	3267	7410
153	3287	7386
154	3309	7366
155	3329	7341
156	3351	7321
157	3373	7301
158	3393	7277
159	3413	7254
160	3433	7229
161	3454	7207
162	3475	7185
163	3496	7162
164	3517	7140
165	3536	7115
166	3556	7091
167	3577	7068
168	3597	7046
169	3617	7021
170	3636	6996
171	3656	6973
172	3676	6949
173	3696	6926
174	3715	6900
175	3734	6875
176	3754	6851
177	3776	6832
178	3799	6813
179	3819	6791
180	3843	6774
181	3863	6751
182	3883	6727
183	3904	6706
184	3926	6685
185	3945	6660
186	3966	6639
187	3985	6614
188	4007	6595
189	4031	6577
190	4052	6555
191	4072	6532
192	4093	6511
193	4113	6487
194	4133	6465
195	4155	6445
196	4177	6425
197	4198	6403
198	4215	6376
199	4235	6353
200	4256	6331
201	4276	6308
202	4295	6283
203	4314	6259
204	4336	6240
205	4358	6221
206	4377	6196
207	4397	6174
208	4417	6150
209	4438	6129
210	4457	6105
211	4478	6084
212	4499	6062
213	4517	6037
214	4537	6014
215	4557	5992
216	4579	5972
217	4599	5949
218	4620	5928
219	4639	5904
220	4659	5881
221	4680	5861
222	4699	5837
223	4718	5813
224	4738	5791
225	4760	5771
226	4779	5747
227	4800	5726
228	4824	5708
229	4847	5690
230	4867	5667
231	4889	5648
232	4909	5626
233	4928	5602
234	4946	5578
235	4967	5556
236	4987	5534
237	5007	5511
238	5028	5491
239	5049	5470
240	5072	5450
241	5094	5431
242	5113	5408
243	5132	5384
244	5152	5362
245	5171	5339
246	5191	5317
247	5210	5294
248	5231	5273
249	5250	5250
250	5270	5228
251	5290	5206
252	5309	5183
253	5328	5161
254	5349	5139
255	5369	5117
256	5389	5096
257	5409	5074
258	5431	5053
259	5454	5034
260	5473	5012
261	5492	4989
262	5510	4965
263	5529	4943
264	5551	4922
265	5572	4902
266	5592	4880
267	5612	4858
268	5632	4836
269	5652	4815
270	5672	4793
271	5692	4771
272	5712	4750
273	5733	4728
274	5753	4707
275	5773	4685
276	5792	4663
277	5812	4641
278	5831	4618
279	5853	4598
280	5875	4578
281	5897	4559
282	5920	4540
283	5942	4519
284	5961	4497
285	5984	4477
286	6005	4457
287	6026	4436
288	6047	4414
289	6071	4396
290	6090	4374
291	6109	4351
292	6128	4329
293	6148	4308
294	6169	4287
295	6190	4266
296	6209	4244
297	6230	4223
298	6251	4202
299	6269	4179
300	6291	4159
301	6315	4140
302	6337	4120
303	6359	4099
304	6379	4078
305	6399	4057
306	6419	4035
307	6439	4014
308	6459	3992
309	6478	3970
310	6499	3949
311	6518	3927
312	6538	3906
313	6557	3884
314	6576	3862
315	6595	3840
316	6614	3818
317	6633	3796
318	6653	3774
319	6671	3752
320	6691	3731
321	6712	3710
322	6734	3690
323	6755	3669
324	6775	3648
325	6797	3628
326	6818	3607
327	6836	3585
